Latitude,Longitude,Speed,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
40.229484,29.009157,46.99,-1.21,-1.52,8.38,0.08,0.01,0.0
40.229484,29.009157,46.99,-0.74,-0.74,11.24,0.0,0.0,-0.01
40.229484,29.009157,46.99,-0.88,-1.15,10.08,-0.0,0.03,-0.01
40.229484,29.009157,46.99,-0.26,-0.87,11.94,-0.13,0.02,-0.01
40.229484,29.009157,46.99,-0.8,-0.14,9.54,-0.09,0.02,0.01
40.229484,29.009157,46.99,-0.99,0.62,10.69,0.01,0.04,-0.01
40.229362,29.009159,49.19,-1.68,1.27,11.89,-0.05,0.06,-0.01
40.229362,29.009159,49.19,-0.78,0.56,8.84,-0.03,-0.01,-0.02
40.229362,29.009159,49.19,-1.25,1.52,9.56,-0.03,0.0,-0.01
40.229362,29.009159,49.19,-1.41,1.65,12.06,-0.02,0.03,-0.01
40.229362,29.009159,49.19,-0.92,0.52,8.36,0.13,-0.16,-0.01
40.229362,29.009159,49.19,-0.13,1.36,11.68,0.01,-0.05,0.01
40.229362,29.009159,49.19,-0.76,0.28,11.3,0.0,-0.08,0.02
40.229362,29.009159,49.19,-0.49,0.83,9.17,0.04,-0.06,0.02
40.229362,29.009159,49.19,-1.33,0.7,11.26,0.01,0.01,-0.01
40.229362,29.009159,49.19,-1.09,0.07,10.57,0.0,-0.05,0.0
40.229251,29.009159,42.26,-0.79,0.59,10.38,0.0,-0.0,-0.01
40.229251,29.009159,42.26,-0.94,0.84,11.22,-0.05,0.04,-0.03
40.229251,29.009159,42.26,-1.22,0.36,9.72,0.03,-0.01,0.0
40.229251,29.009159,42.26,-0.33,1.52,11.26,0.04,-0.03,0.01
40.229251,29.009159,42.26,-1.86,-0.2,9.32,0.05,0.01,-0.02
40.229251,29.009159,42.26,-1.36,1.05,11.42,-0.0,0.01,-0.01
40.229251,29.009159,42.26,-0.36,0.43,7.81,0.04,-0.07,-0.0
40.229251,29.009159,42.26,-0.24,0.09,10.58,-0.01,-0.07,-0.0
40.229251,29.009159,42.26,-1.3,0.93,11.23,0.04,-0.01,-0.02
40.229251,29.009159,42.26,-0.79,0.5,10.52,0.04,-0.0,-0.01
40.22916,29.00916,35.34,-0.61,0.36,9.84,0.06,0.0,-0.0
40.22916,29.00916,35.34,-0.55,0.11,10.71,0.0,-0.03,-0.01
40.22916,29.00916,35.34,-0.41,0.26,10.52,-0.05,0.02,-0.01
40.22916,29.00916,35.34,-1.27,0.41,10.31,0.01,0.02,-0.01
40.22916,29.00916,35.34,-0.57,0.62,9.93,0.02,0.01,-0.02
40.22916,29.00916,35.34,-0.97,0.97,10.86,0.02,0.01,-0.01
40.22916,29.00916,35.34,-1.03,0.04,9.8,-0.01,-0.02,-0.01
40.22916,29.00916,35.34,-0.75,0.09,8.73,0.01,-0.03,-0.01
40.229084,29.00916,28.8,-0.62,0.87,9.69,-0.01,-0.01,-0.01
40.229084,29.00916,28.8,-0.62,0.33,10.63,-0.02,-0.02,-0.0
40.229084,29.00916,28.8,-1.12,0.67,10.83,-0.02,0.03,-0.02
40.229084,29.00916,28.8,-1.13,0.36,10.45,0.02,-0.0,-0.01
40.229084,29.00916,28.8,-0.5,1.07,10.96,-0.01,0.03,-0.02
40.229084,29.00916,28.8,-1.62,0.57,9.98,0.03,-0.02,-0.0
40.229084,29.00916,28.8,-0.62,1.13,10.84,0.01,-0.0,-0.01
40.229084,29.00916,28.8,-1.47,0.47,10.26,0.02,-0.0,-0.01
40.229084,29.00916,28.8,-0.8,0.57,9.66,0.02,-0.0,-0.01
40.229084,29.00916,28.8,-1.81,0.73,10.41,0.01,-0.0,-0.01
40.229026,29.009162,22.46,-1.31,0.5,10.28,0.02,-0.01,-0.01
40.229026,29.009162,22.46,-0.23,0.36,10.49,0.0,-0.05,0.0
40.229026,29.009162,22.46,-1.01,0.49,11.25,-0.02,0.0,-0.02
40.229026,29.009162,22.46,-1.04,0.44,10.37,0.02,-0.03,-0.0
40.228981,29.009162,16.43,-1.36,0.74,10.42,0.06,-0.01,-0.01
40.228981,29.009162,16.43,-0.93,0.14,10.29,0.04,0.01,0.0
40.22895,29.009164,10.7,-0.64,0.31,10.47,-0.0,-0.01,-0.01
40.22895,29.009164,10.7,-0.89,-0.76,10.45,0.04,0.02,-0.0
40.228321,29.009265,0.02,-0.37,-0.78,10.05,0.01,-0.0,-0.01
40.228324,29.009265,0.33,-0.3,-0.99,10.39,0.0,-0.0,-0.01
40.228466,29.009275,20.83,0.15,-1.49,10.45,-0.0,-0.0,-0.0
40.228523,29.009273,24.52,0.2,-1.5,10.69,0.01,-0.03,0.0
40.228523,29.009273,24.52,-0.28,-1.95,11.26,0.01,-0.01,-0.01
40.228523,29.009273,24.52,-0.5,-0.88,9.99,0.04,0.01,0.0
40.228523,29.009273,24.52,-0.19,-1.98,9.02,-0.0,-0.0,-0.01
40.228523,29.009273,24.52,-0.04,-1.51,10.8,0.03,0.02,0.0
40.228523,29.009273,24.52,-0.06,-1.51,8.72,0.05,0.01,-0.02
40.228523,29.009273,24.52,-0.14,-1.29,11.48,0.03,0.02,-0.01
40.228523,29.009273,24.52,-0.05,-2.13,8.12,-0.0,-0.0,-0.01
